"B008","C001","C002","E018","E035","E036","E039","F028","F116","F118","F120","F121","G006","X001","X003","X025R","X049","Y001","E033","E179WVS"
1,3,3,3,10,1,3,2,1,5,1,4,3,1,25,2,NA,NA,2,4
2,3,1,3,6,1,6,7,1,5,1,6,3,1,48,2,NA,4,5,4
NA,2,2,3,10,1,5,7,1,NA,NA,NA,3,1,64,NA,NA,NA,NA,4
2,1,2,3,3,7,5,8,1,NA,1,10,3,1,66,1,5,2,5,4
1,1,2,3,8,2,2,3,10,10,6,10,3,1,47,2,5,5,2,76003
1,1,2,3,10,1,1,6,10,10,1,10,2,1,34,3,5,3,5,76002
1,3,3,2,3,4,4,1,1,3,2,3,2,1,24,2,5,1,4,4
1,3,2,3,3,7,8,7,1,1,1,7,3,1,61,1,5,2,5,76002
1,3,3,3,5,6,6,7,6,7,5,7,2,1,37,1,2,NA,6,4
2,2,3,2,7,6,4,5,5,5,5,6,3,1,35,1,2,NA,6,4
1,3,3,3,6,6,6,8,7,7,6,6,1,1,47,1,2,NA,6,4
1,1,1,3,5,5,5,3,7,1,2,4,1,1,52,2,1,NA,6,4
1,1,1,3,7,1,3,8,1,5,1,5,2,1,47,3,6,2,5,76003
1,1,1,3,7,4,3,6,1,5,1,1,3,1,20,2,6,4,8,4
2,1,2,3,4,4,9,8,1,1,1,5,2,1,65,1,6,1,NA,76002
NA,1,2,3,6,1,1,3,1,1,1,5,4,1,54,1,2,1,1,4
NA,2,2,3,4,3,1,5,1,1,1,1,4,1,62,1,2,3,NA,76007
2,2,2,3,6,2,1,7,1,10,1,10,4,1,74,1,5,1,NA,4
1,3,2,3,7,5,5,7,1,1,1,1,4,1,51,1,5,0,5,76002
1,1,2,1,5,5,5,6,1,10,10,10,3,1,60,1,5,1,NA,4
1,1,2,1,3,3,5,1,4,10,7,10,3,1,39,3,5,3,3,4
1,1,1,3,NA,1,1,1,1,10,1,10,1,1,53,2,6,NA,NA,NA
1,1,2,3,7,5,2,7,1,5,1,5,3,1,23,2,NA,3,6,76002
2,1,2,2,5,1,2,6,1,5,1,8,3,1,52,1,NA,NA,5,4
1,1,2,2,8,1,5,7,1,5,1,4,3,1,32,2,8,NA,5,76002
2,1,3,3,10,1,4,7,1,5,1,1,3,1,34,2,5,2,5,4
1,2,3,3,9,3,2,8,1,6,4,8,3,1,35,1,1,1,5,76002
2,1,2,3,5,3,2,7,3,8,1,10,3,1,51,2,4,0,5,NA
1,3,2,2,7,5,4,6,1,5,8,5,4,1,59,1,4,2,9,76001
2,2,2,3,3,5,5,2,10,8,8,10,2,1,25,2,4,1,3,NA
1,1,2,3,1,3,1,6,4,10,6,8,3,1,25,3,4,1,3,76002
2,1,1,3,5,6,7,1,4,7,4,7,3,1,26,3,4,1,5,NA
1,1,2,2,1,5,5,6,1,1,1,1,3,1,44,2,7,2,5,4
1,1,2,3,5,5,1,8,1,1,1,1,3,1,29,3,7,3,5,76003
2,1,2,3,5,5,1,2,1,1,1,1,3,1,53,1,7,2,5,76003
1,3,2,3,5,5,5,2,1,1,1,1,2,1,46,1,NA,1,NA,4
1,1,2,3,10,1,1,6,5,5,1,1,2,1,56,1,8,1,5,76001
1,1,2,3,9,1,5,2,5,10,8,10,3,1,27,3,8,2,5,4
1,1,2,2,1,1,10,8,10,10,5,10,3,1,20,1,8,5,9,4
1,1,1,2,1,1,10,2,1,10,5,7,3,1,40,3,8,5,5,4
1,1,3,3,6,1,1,7,1,10,1,10,4,1,30,1,NA,3,6,76002
2,2,2,3,NA,10,10,7,1,6,1,10,3,1,65,2,8,2,1,76002
2,1,2,3,1,NA,1,7,1,1,1,5,4,1,51,1,8,NA,10,76002
2,1,1,3,10,10,2,6,1,1,1,2,1,1,74,1,3,2,10,4
NA,1,1,3,1,1,1,3,1,1,1,1,4,1,49,1,2,2,5,76003
2,2,1,2,1,1,1,7,1,2,1,1,4,1,24,2,2,1,10,4
2,1,2,3,10,9,2,8,2,3,9,7,3,1,23,3,7,1,5,NA
2,1,2,2,1,10,10,2,3,1,1,10,4,1,29,2,7,2,5,4
2,1,1,3,2,2,2,6,1,1,1,2,1,1,66,1,7,NA,5,4
2,3,1,1,10,10,1,6,2,1,1,1,3,1,50,2,7,1,1,76002
3,1,2,2,1,5,5,8,5,1,1,1,4,1,56,1,8,2,5,4
2,2,2,3,10,9,5,7,6,8,1,8,4,1,26,2,8,1,10,76001
1,1,2,3,10,10,1,1,1,5,1,10,3,1,43,2,8,3,5,76003
1,1,2,3,7,3,7,2,1,3,1,6,3,1,31,2,8,3,5,4
1,1,2,3,9,4,5,5,1,9,1,10,4,1,30,2,8,3,1,76001
2,3,2,3,9,10,8,1,1,10,1,10,2,1,40,1,8,1,10,76003
2,1,2,3,3,8,5,7,5,5,5,5,3,1,18,1,8,2,1,76001
1,2,2,3,10,1,10,7,5,1,1,10,4,1,50,1,8,1,10,76002
