"B008","C001","C002","E018","E034","E035","E036","E039","F028","F116","F118","F120","F121","F144_02","G006","X001","X003","X025R","X028","X049","X051","Y001","E033","E179WVS"
1,1,1,3,1,3,5,10,7,1,NA,NA,10,10,1,1,23,3,0,7,0,3,10,NA
NA,1,2,3,2,10,5,NA,7,NA,NA,NA,NA,NA,NA,2,23,3,1,7,1,NA,NA,NA
1,1,2,3,3,10,10,10,2,NA,NA,NA,NA,1,4,2,23,2,1,6,0,1,10,NA
NA,1,2,NA,2,NA,NA,10,8,1,NA,NA,NA,1,4,1,23,2,1,7,1,3,5,NA
2,1,2,3,2,10,5,1,8,10,1,1,1,1,1,2,23,3,1,4,0,2,10,NA
1,1,3,NA,2,7,3,4,1,1,10,10,10,NA,2,2,23,3,1,7,1,3,4,NA
1,1,2,3,1,1,1,4,2,1,1,1,5,1,2,1,23,2,1,8,0,2,5,5
1,1,1,2,3,10,1,10,2,10,10,1,10,10,4,2,23,2,1,8,1,3,5,76002
NA,1,2,3,2,1,1,1,2,5,NA,5,10,5,2,2,23,3,1,7,1,1,NA,NA
1,1,1,3,2,5,5,3,2,3,2,5,10,1,3,2,23,2,1,7,1,1,4,NA
1,3,3,2,1,5,5,6,7,5,3,4,5,5,3,2,23,1,1,8,0,NA,6,76002
2,3,2,3,2,10,10,8,6,NA,10,1,10,1,3,2,23,2,0,2,1,3,NA,NA
1,1,2,NA,2,5,5,1,8,1,NA,1,5,1,2,2,23,2,1,8,1,1,5,NA
2,1,2,3,2,10,5,1,6,1,1,1,1,10,2,1,23,2,1,7,0,3,10,NA
1,3,3,2,2,5,5,7,7,5,5,4,5,5,2,2,23,3,1,6,1,NA,5,NA
1,1,2,3,2,1,1,5,6,1,4,1,1,1,2,1,23,2,0,8,0,2,5,NA
NA,1,1,3,2,1,NA,5,2,4,NA,10,10,1,2,2,23,3,1,7,0,NA,2,76002
1,1,1,3,1,1,1,1,6,1,10,8,9,9,3,1,23,1,1,7,0,4,6,76028
2,1,1,2,2,1,5,1,3,5,7,1,5,7,3,1,23,3,1,8,0,2,5,5
2,1,2,3,1,1,1,3,1,5,7,1,6,4,3,2,23,1,1,8,1,4,4,76028
2,2,2,1,3,7,4,5,7,2,1,1,1,1,4,1,23,1,0,7,0,3,10,NA
1,1,1,2,2,1,NA,1,3,1,10,5,5,5,1,2,23,2,1,7,1,4,NA,NA
NA,2,3,3,1,3,4,4,7,4,4,4,4,4,2,2,23,3,1,4,0,NA,5,76005
1,1,3,3,2,1,5,1,2,1,6,1,7,1,2,2,23,2,1,7,0,4,5,76002
1,1,2,3,1,2,5,8,8,2,2,1,3,1,3,1,23,2,0,6,1,3,8,5
