"B008","C001","C002","E018","E034","E035","E036","E039","F028","F116","F118","F120","F121","G006","X001","X003","X025R","X028","Y001","E033","E179WVS","E182"
1,2,2,3,2,5,9,5,6,9,1,1,1,2,1,33,2,1,3,8,NA,NA
2,2,2,3,2,7,10,9,6,3,2,1,1,3,2,20,2,0,2,1,76006,76002
1,3,2,3,2,8,5,4,6,5,2,2,5,4,1,25,2,1,3,5,76003,76007
1,3,2,3,2,10,5,5,6,5,7,7,9,4,2,64,3,1,1,NA,NA,NA
2,3,2,3,2,9,2,1,6,1,10,1,9,2,2,31,1,0,1,5,76001,76014
1,3,3,2,2,10,4,4,7,1,5,1,6,4,2,45,2,1,2,5,NA,76002
1,3,2,3,3,9,5,1,8,2,1,1,5,4,1,26,2,0,4,2,76005,76009
2,3,3,3,2,10,10,10,8,10,4,1,3,3,2,29,2,1,1,5,76002,76003
NA,2,2,3,NA,5,6,5,6,1,1,1,1,4,1,35,1,1,NA,NA,NA,NA
2,3,2,3,2,7,3,3,8,1,1,1,1,4,1,21,2,1,3,5,NA,NA
1,2,2,3,1,3,2,8,3,9,1,1,10,4,1,30,1,0,0,3,76001,76019
3,3,2,3,2,7,5,1,7,1,5,5,8,4,1,28,3,0,4,8,76002,76001
2,3,2,3,3,9,10,5,7,1,1,1,1,4,1,22,2,1,1,7,76007,76001
2,3,2,3,2,2,7,4,7,1,1,1,1,3,2,20,2,0,1,6,76001,76008
2,3,2,3,2,3,1,1,7,3,10,1,10,2,2,20,3,0,5,9,76005,76002
1,3,2,3,3,10,8,3,6,7,1,4,1,4,1,25,2,1,2,NA,76005,76002
1,3,2,3,2,9,8,3,5,1,1,1,1,4,1,27,2,1,3,8,76002,76001
1,3,3,2,2,10,1,1,6,7,1,1,5,2,2,29,3,1,2,8,76005,76002
3,3,2,3,2,7,NA,5,6,1,10,10,10,4,1,38,2,1,3,3,NA,76005
2,3,2,3,2,5,1,1,3,1,1,1,5,4,1,37,2,1,2,5,NA,NA
1,3,2,3,1,2,3,9,6,8,9,2,9,2,2,23,1,1,2,5,76002,76003
1,2,2,3,1,6,4,1,6,10,1,1,1,3,1,48,1,1,2,NA,NA,76009
2,2,2,3,2,7,4,1,6,1,1,1,1,4,1,50,2,1,3,5,NA,NA
1,3,2,3,NA,6,6,1,5,1,6,1,7,3,1,34,2,1,2,NA,NA,NA
2,1,2,3,3,7,5,5,5,1,1,1,6,4,1,54,1,1,1,7,76001,76015
2,3,2,3,2,5,5,5,6,5,1,1,10,4,1,22,2,0,2,4,NA,76002
2,2,2,3,2,1,10,10,6,1,1,1,1,4,2,25,2,1,2,10,NA,NA
2,3,2,3,2,1,1,1,7,10,1,1,10,4,1,48,1,1,1,10,76001,76006
2,3,2,3,3,2,10,9,6,2,2,9,9,4,2,30,2,0,2,NA,NA,NA
2,3,2,3,2,1,1,1,3,1,4,3,5,4,1,27,1,1,2,NA,76002,NA
2,3,2,3,2,9,NA,2,8,5,1,1,1,4,2,48,2,0,2,NA,NA,NA
1,3,2,3,2,4,5,4,5,6,1,1,1,4,1,55,2,1,4,7,76003,76002
2,3,2,3,2,5,1,1,3,1,1,1,5,4,1,61,2,1,3,6,76007,76002
2,1,2,3,1,8,7,4,6,4,1,1,3,4,1,22,1,1,2,7,76004,76019
2,2,2,3,3,9,NA,2,7,8,1,1,7,4,2,32,2,1,2,8,76001,76006
1,3,2,3,2,5,1,1,5,7,5,5,5,4,2,43,2,0,4,5,76002,76004
2,3,3,3,2,10,10,1,7,1,1,1,1,4,2,28,2,1,1,NA,76002,76008
2,2,2,3,1,8,7,3,5,7,5,2,8,4,2,41,2,1,3,6,76001,76004
1,2,2,1,2,10,1,1,6,10,1,1,1,4,2,25,1,1,4,1,NA,NA
1,2,2,3,3,2,3,3,7,2,8,2,10,4,1,18,1,1,2,3,76001,76010
