"B006","C001","C002","E018","E034","E035","E036","E039","F028","F116","F118","F120","F121","F141","G006","X001","X003","X025R","X028","X049","X051","Y001","E033","E179WVS"
1,1,1,3,1,1,10,1,6,1,1,1,10,1,4,1,55,2,1,2,1,3,1,76021
4,2,2,3,2,1,1,1,4,1,1,1,5,1,4,1,55,1,1,6,1,3,3,NA
1,1,2,3,2,10,5,1,2,1,5,1,10,5,4,1,55,2,1,4,1,3,10,NA
1,2,1,3,2,NA,NA,NA,6,NA,NA,1,NA,1,3,2,45,1,0,8,0,NA,10,76001
1,1,2,3,2,10,8,9,7,1,1,1,1,1,1,2,21,3,1,7,1,4,5,NA
3,2,2,3,2,7,1,1,7,3,1,3,3,2,3,1,27,2,1,4,1,2,5,76003
4,2,2,3,1,6,8,3,7,3,1,1,5,4,4,1,21,2,0,4,1,1,6,76001
1,1,NA,3,2,10,1,1,6,1,1,1,1,1,2,1,55,1,1,3,1,2,10,NA
NA,3,2,3,2,6,4,5,1,1,1,1,NA,1,4,1,35,1,1,4,0,1,NA,NA
3,2,2,3,2,4,3,2,8,5,2,1,2,2,4,2,55,1,0,8,1,1,6,NA
4,2,2,3,2,10,1,1,4,1,1,1,10,1,4,1,55,2,1,7,1,3,10,NA
1,2,2,3,2,8,10,1,8,1,1,1,1,1,4,1,21,2,1,2,1,1,10,76021
4,1,1,3,2,10,10,4,6,1,4,2,8,1,4,2,35,2,1,7,1,2,1,NA
4,2,2,3,2,7,8,4,4,10,5,1,10,1,3,2,35,1,1,8,1,NA,3,NA
1,1,2,3,2,2,9,3,2,1,10,5,9,1,4,2,21,2,0,8,0,4,9,NA
1,1,2,2,1,10,5,10,7,10,1,1,10,10,4,2,21,2,1,3,1,1,1,76004
4,2,3,3,2,10,10,1,7,1,10,1,1,1,4,1,21,2,1,8,0,0,5,76001
4,1,2,3,1,1,10,2,8,2,3,3,2,2,3,1,27,2,0,8,0,2,10,NA
4,3,2,3,2,7,5,4,2,1,10,5,5,1,4,2,21,2,0,3,0,1,8,NA
3,2,2,3,2,2,2,1,1,5,1,6,6,1,4,1,35,2,1,3,1,2,NA,NA
1,2,2,1,2,5,5,1,5,1,1,1,1,1,4,2,35,2,1,3,1,1,6,NA
2,2,2,3,2,4,7,5,3,3,7,8,7,4,4,1,27,2,1,8,0,2,2,NA
2,1,2,3,1,6,4,7,6,5,1,1,10,2,3,1,27,2,1,3,1,3,1,76007
3,1,1,3,2,8,3,3,2,2,1,5,5,1,4,1,35,2,1,8,1,3,5,NA
4,2,2,3,3,5,7,5,3,1,1,1,1,1,3,1,55,1,1,8,1,2,5,NA
4,1,2,3,NA,2,7,8,7,1,1,1,1,1,4,2,45,1,0,7,0,3,10,NA
2,1,2,3,2,5,5,5,6,3,1,1,3,2,NA,2,35,2,0,6,1,2,5,NA
1,1,2,3,2,6,5,1,1,1,1,5,10,7,3,1,35,2,1,6,1,3,3,76002
1,2,2,1,2,4,10,7,2,1,1,4,6,1,2,1,21,3,0,5,1,3,8,76004
3,1,2,3,2,4,8,6,6,5,1,1,5,1,3,2,21,2,0,5,1,2,5,NA
1,2,2,3,2,5,4,10,8,5,1,1,1,1,4,1,21,1,1,7,1,3,6,NA
1,1,2,3,2,1,1,1,6,5,1,1,10,1,4,1,55,1,1,5,1,2,1,NA
2,1,2,3,2,10,5,3,7,1,1,4,5,1,4,1,55,1,1,7,1,2,4,NA
